2	zcjkguasq321	too much miti kata in hawa	Tue Apr 04 13:03:20 CDT 2017	null	null	null	too much miti kata in hawa
78	DonZahnle	RT @comermd: Will #SusanRice bring down #obama? What ever you do Susan, don't take baths, long walks at night or order take out!… 	Tue Apr 04 13:12:30 CDT 2017	null	null	null	RT @comermd: Will #SusanRice bring down #obama? What ever you do Susan, don't take baths, long walks at night or order take out!… 
79	KcNightfire	Today's lesson and the award for best use of hypocrisy, 140 characters or less. https://t.co/mI3ApNOTTH	Tue Apr 04 13:12:30 CDT 2017	null	null	null	Today's lesson and the award for best use of hypocrisy, 140 characters or less. https://t.co/mI3ApNOTTH
80	Secbuff	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S	Tue Apr 04 13:12:32 CDT 2017	null	null	null	RT @resisterhood: But what did you do when President Obama nominated Merrick Garland? https://t.co/UVPFgxjr0S
81	theReal_Rebel	RT @swankmotron: Two words: Merrick Garland. You changed the rules. You made your bed, now sleep in it. https://t.co/zlIEpxGjSa	Tue Apr 04 13:12:33 CDT 2017	null	null	null	RT @swankmotron: Two words: Merrick Garland. You changed the rules. You made your bed, now sleep in it. https://t.co/zlIEpxGjSa
82	MayAlbinali	RT @Mendelpol: .@realDonaldTrump blaming #Obama for #Assad #ChemicalWeapons attack. But he won't act, because his mate in #Russia won't all…	Tue Apr 04 13:12:34 CDT 2017	null	null	null	RT @Mendelpol: .@realDonaldTrump blaming #Obama for #Assad #ChemicalWeapons attack. But he won't act, because his mate in #Russia won't all…
83	me_the_investor	#Muslim Boy Brings Clock To School That Looks Like A BOMB and #Obama Praises Him https://t.co/m4YFYE9hSK	Tue Apr 04 13:12:34 CDT 2017	null	null	null	#Muslim Boy Brings Clock To School That Looks Like A BOMB and #Obama Praises Him https://t.co/m4YFYE9hSK
84	hassankhe	#Trump #DonaldTrump Free Donald Trump T-shirt https://t.co/mZMETfz0SV https://t.co/RUJGfa81c1	Tue Apr 04 13:12:35 CDT 2017	null	null	null	#Trump #DonaldTrump Free Donald Trump T-shirt https://t.co/mZMETfz0SV https://t.co/RUJGfa81c1
85	AJ_Balian	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ	Tue Apr 04 13:12:35 CDT 2017	null	null	null	RT @RealJamesWoods: #SusanRice #RiceGate #Obama https://t.co/K1A4rUbvAJ
86	hammegk	Liars gotta lie. https://t.co/ig41flKLWw	Tue Apr 04 13:12:36 CDT 2017	null	PlaceJSONImpl{name='Florida', streetAddress='null', countryCode='US', id='4ec01c9dbc693497', country='United States', placeType='admin', url='https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json', fullName='Florida, USA', boundingBoxType='Polygon', boundingBoxCoordinates=[[Ltwitter4j.GeoLocation;@594f810b], geometryType='null', geometryCoordinates=null, containedWithIn=null}	null	Liars gotta lie. https://t.co/ig41flKLWw
87	HeyTrudi	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe	Tue Apr 04 13:12:38 CDT 2017	null	null	null	RT @bfraser747: "If Bush did this to #Obama, the political earthquake would still be palpable today" ~ @Judgenap https://t.co/y0HAzYIFPe
88	MuhamedSacirbey	Inaction by #Obama left Vacuum & Sense of Impunity. #Trump's equivalence only embolden #Assad & #Putin. Prosecution… https://t.co/fOT2lWXcQI	Tue Apr 04 13:12:40 CDT 2017	null	null	null	Inaction by #Obama left Vacuum & Sense of Impunity. #Trump's equivalence only embolden #Assad & #Putin. Prosecution… https://t.co/fOT2lWXcQI
89	Lori_Commander	RT @keywestcliff2: #Obama knew and directed,or, dumber than we thought. @POTUS @realDonaldTrump was surveilled for political,treasonou… 	Tue Apr 04 13:12:43 CDT 2017	null	null	null	RT @keywestcliff2: #Obama knew and directed,or, dumber than we thought. @POTUS @realDonaldTrump was surveilled for political,treasonou… 
